,Name,Fund,CIK,Personal Net Worth,Description,Photo,Status
,Warren Buffett,Berskshire Hathaway Inc,0001067983 ,"$71,500,000,000",Warren Buffett is considered one of the most successful investors in the world. Buffett has been the chairman and largest shareholder of Berkshire Hathaway since 1970.,https://www.forbes.com/profile/warren-buffett/?list=rtb/#2906b6574639,Complete
,Carl Icahn,Icahn Enterprises,0000921669,"$14,200,000,000","Carl Icahn is an American businessman. He is the founder and controlling shareholder of Icahn Enterprises, a diversified conglomerate holding company based in New York City. Icahn has developed a reputation as a corporate raider.",https://www.forbes.com/profile/carl-icahn/?list=rtb/#72471bde35eb,Complete
,David Einhorn,Greenlight Capital Inc,0001079114,"$1,500,000,000","David Einhorn is one of Wall Street's most closely watched investors due to his bold investment calls. Einhorn heads hedge fund Greenlight Capital, which has $7 billion in assets and has posted a 15.4% net return since inception in May 1996.",https://www.forbes.com/profile/david-einhorn/#2c586ef56743,Complete
,Nelson Peltz,"Trian Fund Management, L.P.",0001345471,"$1,500,000,000","Nelson Peltz, an activist investor, is a founder of investment firm Trian Fund Management. Trian now has more than $11 billion in assets under management. The firm has a highly concentrated portfolio that includes stakes in Bank of New York Mellon, DuPont and food conglomerate Mondelez International.",https://www.forbes.com/profile/nelson-peltz/?list=rtb/#7f88bdfc37a4,Complete
,Bruce Berkowitz,Fairholme Capital Management LLC,0001056831,"$920,000,000",Bruce Berkowitz is an American equity fund manager and registered investment adviser. Berkowitz founded Fairholme Capital Management in 1997 and was formerly a senior portfolio manager at Lehman Brothers Holdings and a managing director of Smith Barney.,https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2013/09/04/101008256-Fairholme---Bruce-Berkowitz.jpg?v=1391552808,Complete
,George Soros,Soros Fund Management LLC,0001029160,"$8,300,000,000",George Soros is a celebrated hedge fund tycoon who managed client money in New York from 1969 to 2011. Soros shifted $18 billion from his family office to his Open Society Foundations as of 2018. His fund's assets are worth an estimated $8.4 billion.,https://www.forbes.com/profile/george-soros/?list=rtb/#213b944b2024,Complete
,David Tepper,Appaloosa Management LP,0001006438,"$12,000,000,000","David Tepper, arguably the greatest hedge fund manager of his generation, has been steadily returning money to client investors in recent years. Tepper is the founder of Appaloosa Management, a hedge fund firm managing $13 billion. ",https://www.forbes.com/profile/david-tepper/?list=rtb/#113bf0fd384c,Complete
,Bill Ackman,"Pershing Square Capital Management, L.P.",0001336528,"$1,500,000,000",Bill Ackman is the founder of Pershing Square Capital Management and has a personal net worth of $1.5 billion. Ackman is considered by some to be a contrarian investor but considers himself an activist investor.,https://www.forbes.com/profile/william-ackman/?list=rtb/#62dc561e298d,Complete
,Chase Coleman III,Tiger Global Management LLC,0001167483,"$4,500,000,000","Chase Coleman is an American billionaire hedge fund manager and investor, and the founder of Tiger Global Management. The hedge fund was an early investor in both Facebook and LinkedIn.",https://www.forbes.com/profile/chase-coleman-iii/?list=rtb/#55ac8ee9e44e,Complete
,Larry Robbins,"Glenview Capital Management, LLC",0001138995,"$1,900,000,000","Larry Robbins is the founder and CEO of Glenview Capital Management, a New York hedge fund that oversees some $8 billion in assets. Prior to founding Glenview, Larry spent six years as an analyst and partner at Omega Advisors. ",https://www.forbes.com/profile/larry-robbins/?list=rtb/#7bbce5e12e5c,Complete
,Daniel Loeb,Third Point LLC,0001040273,"$2,800,000,000","Daniel Loeb founded Third Point LLC, an asset management firm headquartered in New York, in 1995. As Chief Executive Officer, he leads portfolio management and research activities. ",https://www.forbes.com/profile/daniel-loeb/?list=rtb/#c6d20c67c2dd,Complete
,Tom Steyer,"Farallon Capital Management, LLC",0000909661,"$1,600,000,000",Tom Steyer spent 26 years running hedge fund Farallon Capital; he sold his stake in 2012 and switched his focus to politics and the environment. Farallon Capital manages $20 billion in capital for institutions and high-net-worth individuals.,https://www.forbes.com/profile/thomas-steyer/?list=rtb/,Complete
,Charles Munger,Berskshire Hathaway Inc,0001067983 ,"$1,600,000,000","Charles Munger is a billionaire investor, businessman, author, and philanthropist. As vice chairman of Berkshire Hathaway, Charlie Munger is Warren Buffett's right-hand man. Munger has an estimated net worth of $1.6 billion, according to Forbes Magazine.",https://www.forbes.com/profile/charles-munger/?list=rtb/#347d9e80697a,Complete
,Stephen Mandel,Lone Pine Capital LLC,0001061165,"$2,800,000,000","Stephen Mandel is the president and portfolio manager of Lone Pine Capital. Lone Pine Capital was established in 1997 as a hedge fund, based in Greenwich, Connecticut.",https://static1.therichestimages.com/wordpress/wp-content/uploads/Mayor_Mandel_use_for_Bio_high_res___7828.jpg,Complete
,Julian Robertson Jr,Tiger Global Management LLC (no longer with),0001167483,"$4,400,000,000",Superstar trader Julian Robertson helped pioneer the modern-day hedge fund industry; he founded Tiger Management in 1980. Forbes Magazine estimates his net worth at $4.4 billion. ,https://www.forbes.com/profile/julian-robertson-jr/?list=rtb/#540f4316441e,Complete
,Jim Simons,Renaissance Technologies LLC,0001037389,"$21,600,000,000","Jim Simons is the founder of Renaissance Technologies, an esteemed quantitative trading hedge fund firm that manages $68 billion. He founded Renaissance Technologies in 1982 and retired in 2010, but he still plays a role at Renaissance and benefits from its funds.",https://www.forbes.com/profile/jim-simons/?list=rtb/#428f7aee3b6a,Complete
,Ray Dalio,"Bridgewater Associates, LP",0001350694,"$18,000,000,000","Ray Dalio is the founder of the world's biggest hedge fund firm, Bridgewater Associates, which manages $160 billion. Dalio has given more than $760 million to philanthropic causes. His Dalio Foundation has supported microfinance and inner-city education.",https://www.forbes.com/profile/ray-dalio/?list=rtb/#72cfbccc663a,Complete
,Stephen Schwarzman,Blackstone Group Inc,0001393818,"$16,700,000,000","Stephen Schwarzman founded private equity firm Blackstone with fellow billionaire Peter Peterson in 1985. His personal fortune is estimated at $16.6 billion. In 2014, Schwarzman was named as one of Bloomberg's 50 Most Influential people of the year.",https://www.forbes.com/profile/stephen-schwarzman/?list=rtb/#6c8ffc7c234a,Complete
,Steve Cohen,"Point72 Asset Management, L.P.",0001603466,"$14,000,000,000","Steve Cohen oversees Point72 Asset Management, a $13 billion hedge fund firm that restarted managing outside capital in 2018. Cohen has given $715 million to philanthropic causes over his lifetime, including causes related to veterans and children's health.",https://www.forbes.com/profile/steve-cohen/?list=rtb/#21903aa063f8,Complete
,Kenneth Griffin,Citadel Advisors LLC,0001423053,"$12,300,000,000","Ken Griffin founded and runs Citadel, a Chicago-based hedge fund firm that manages $32 billion in assets. He is majority owner of Citadel Securities, one of Wall Street's biggest market-making firms, responsible for one of five stock trades in the U.S.",https://www.forbes.com/profile/ken-griffin/?list=rtb/#5e2080995079,Complete
,David Shaw,"D.E. Shaw & Co, L.P.",0001009268,"$7,300,000,000","A former computer science professor at Columbia University, David Shaw is the founder of D.E. Shaw, which manages over $50 billion in assets. In 2002, Shaw created an executive committee to oversee the company, and has since stepped away from its day-to-day operations. Shaw is now chief scientist at D.E. Shaw Research, a computational biochemistry research firm.",https://www.forbes.com/profile/david-shaw/?list=rtb/#46b0baf45094,Complete
,Eli Broad,"Sunamerica Asset Management, LLC (no longer with)",0000863926,"$6,800,000,000","Eli Broad bought his first real estate at age 20 and cofounded home builder Kaufman & Broad in 1957 with $12,500 borrowed from his in-laws. He later bought Sun Life Insurance, transforming it into annuities giant SunAmerica, before selling it to AIG for $18 billion in stock in 1998.",https://www.forbes.com/profile/eli-broad/?list=rtb/#19c0f977155d,Complete
,Israel Englander,Millennium Management LLC,0001273087,"$6,600,000,000","Israel Englander founded Millennium Management in 1989 with $35 million. Now, the hedge fund firm manages more than $38 billion. Englander's hedge fund uses a multi-manager platform, feeding more capital to those who perform well and getting rid of traders who perform poorly.",https://www.forbes.com/profile/israel-englander/?list=rtb/#3c613fc91462,Complete
,John Overdeck,"Two Sigma Investments, LP",0001179392,"$6,100,000,000","John Overdeck is the co-founder of Two Sigma Investments, a quantitative trading powerhouse with $60 billion under management. Two Sigma is a data-driven hedge fund that absorbs large amounts of information to predict the prices of securities.",https://www.forbes.com/profile/john-overdeck/?list=rtb/#695178d93740,Complete
